學年度,階段,學號,宿舍,房號,是否確認
104,保留原寢,0159810,博愛二舍,108,
104,未保留原寢,0357104,博愛二舍,108,
104,保留原寢,0353305,博愛二舍,114,
104,未保留原寢,0353309,博愛二舍,114,
104,保留原寢,0280214,博愛二舍,119,
104,保留原寢,0383404,博愛二舍,119,
104,保留原寢,0189204,博愛二舍,203,
104,保留原寢,0056702,博愛二舍,203,
104,保留原寢,0350231,博愛二舍,208,
104,保留原寢,0351903,博愛二舍,208,
104,保留原寢,0352230,博愛二舍,209,
104,保留原寢,0087202,博愛二舍,209,
104,未保留原寢,0252605,博愛二舍,211,
104,保留原寢,0352611,博愛二舍,211,
104,保留原寢,0353418,博愛二舍,213,
104,未保留原寢,0353440,博愛二舍,213,
104,保留原寢,0250122,博愛二舍,215,
104,保留原寢,9818814,博愛二舍,217,
104,保留原寢,0353129,博愛二舍,221,
104,未保留原寢,0353135,博愛二舍,221,
104,保留原寢,0357006,博愛二舍,308,
104,未保留原寢,0357018,博愛二舍,308,
104,保留原寢,0259215,博愛二舍,318,
104,未保留原寢,0259216,博愛二舍,318,
104,保留原寢,0350186,博愛二舍,319,
104,保留原寢,0357215,博愛二舍,319,
104,保留原寢,9929515,博愛二舍,321,
104,保留原寢,9848801,博愛二舍,321,
104,保留原寢,0250294,三宿舍,303,
104,保留原寢,0259318,三宿舍,303,
104,未保留原寢,0350113,三宿舍,303,
104,保留原寢,0359128,三宿舍,303,
104,保留原寢,9932802,四宿舍,102,
104,保留原寢,9951501,四宿舍,103,
104,保留原寢,9951804,四宿舍,103,
104,保留原寢,9811543,四宿舍,105,
104,保留原寢,0087204,四宿舍,106,
104,保留原寢,0281701,四宿舍,106,
104,保留原寢,0157111,四宿舍,107,
104,保留原寢,0082601,四宿舍,110,
104,保留原寢,0086054,四宿舍,111,
104,保留原寢,9811555,四宿舍,112,
104,保留原寢,0187101,四宿舍,114,
104,保留原寢,0080009,四宿舍,115,
104,保留原寢,0182603,四宿舍,119,
104,保留原寢,0382201,四宿舍,120,
104,保留原寢,9813819,四宿舍,201,
104,保留原寢,9955843,四宿舍,202,
